transaction_id,timestamp,event_id,agent_id,action_schema,financial_impact,sandbox_approved
99acecad-a587-4fb7-b747-2e0abce6a8b4,2026-03-03T09:06:31.981472+00:00,EVT-0F608A48,keeper,"{""action"": ""HUMAN_APPROVED"", ""proposal"": ""--- MITIGATION PROPOSAL ---\nAGENT: Keeper\nCRISIS: Warehouse overflow due to finished goods storage capacity warning\n\nACTIONS TAKEN:\n  - GLR-TS-OneSize-467: units_on_floor reduced from 44 \u2192 34 (13.8% utilization)\n  - ATM-JN-XS-678: units_on_floor reduced from 18 \u2192 8 (3.8% utilization)\n\nFINANCIAL IMPACT: -$1,159.20 USD (cost savings from reduced holding requirements)\n\nRATIONALE: \n1. GLR-TS-OneSize-467 had 60.5% utilization in Lake Mollymouth location. Reducing by 10 units creates 38 units of headr""}",0.0,True
b5878b1e-06ed-4c35-abc7-220324c19c2d,2026-03-03T10:50:44.359474+00:00,AGENT_ACTION,keeper,"{""row_key"": ""ATM-TS-XS-978"", ""target_column"": ""units_on_floor"", ""delta"": -20.0, ""justification"": ""Reallocating excess stock to create warehouse space for finished goods"", ""old_value"": 77.0, ""new_value"": 57.0}",-2152.6,True
fedba881-2534-4f25-87c9-8ee9c72e3f47,2026-03-03T10:52:48.225271+00:00,AGENT_ACTION,maker,"{""row_key"": ""ARW-TS-XXL-191"", ""target_column"": ""units_on_floor"", ""delta"": 8.0, ""justification"": ""Increasing stock for high-velocity item to prevent potential stockout"", ""old_value"": 16.0, ""new_value"": 24.0}",242.0,True
fbecab43-1bf9-40fc-a4ea-e24bc6eab267,2026-03-03T11:06:47.039207+00:00,AGENT_ACTION,maker,"{""delta"": 50, ""justification"": ""Test production increase""}",500.0,True
8578d82d-acfc-4a21-b95a-3efb121e26f6,2026-03-03T11:09:01.347356+00:00,AGENT_ACTION,maker,"{""delta"": 50, ""justification"": ""Test production increase""}",500.0,True
afcb993e-cfd1-434c-a25d-670ffcf877ab,2026-03-03T11:16:27.458922+00:00,AGENT_ACTION,maker,"{""delta"": 50, ""justification"": ""Test production increase""}",500.0,True
f82078dc-37e7-47e6-a356-f54293a5a8cc,2026-03-03T11:21:16.837281+00:00,AGENT_ACTION,maker,"{""delta"": 50, ""justification"": ""Test production increase""}",500.0,True
066af7b9-3b99-4548-a7b0-6b1ed590c38e,2026-03-03T11:23:48.720940+00:00,AGENT_ACTION,maker,"{""delta"": 50, ""justification"": ""Test production increase""}",500.0,True
fb50bd33-9345-4d0b-b5d2-5ad3898218a6,2026-03-03T11:25:23.827682+00:00,AGENT_ACTION,maker,"{""delta"": 50, ""justification"": ""Test production increase""}",500.0,True
3dd4ae50-e838-42e7-826f-8ebf028695cd,2026-03-03T11:25:51.383865+00:00,AGENT_ACTION,maker,"{""delta"": 50, ""justification"": ""Test production increase""}",500.0,True
3780dcd5-da51-4644-9b39-7b753d7827d2,2026-03-03T11:26:42.832128+00:00,AGENT_ACTION,maker,"{""delta"": 50, ""justification"": ""Test production increase""}",500.0,True
94982a5d-2554-4aa2-840b-acd690e5d676,2026-03-03T11:28:10.439476+00:00,AGENT_ACTION,maker,"{""delta"": 50, ""justification"": ""Test production increase""}",500.0,True
